date,state,district
2021-09-29,Sarawak,Lawas
2021-09-29,Sarawak,Tatau
2021-10-05,Sarawak,Serian
2021-10-11,Sarawak,Miri
2021-10-25,Sarawak,Lundu
2021-10-27,Sarawak,Sarikei
2021-10-30,Sarawak,Tanjung Manis
2021-11-02,Sarawak,Lawas
2021-11-11,Sarawak,Maradong
2021-11-12,Sarawak,Samarahan
2021-11-14,Perak,Kinta
2021-11-15,Sarawak,Beluru
2021-11-15,Sarawak,Kuching
2021-11-16,Sarawak,Pakan
2021-11-24,Sarawak,Matu
2021-11-29,Sarawak,Betong
2021-11-30,Sarawak,Betong
2021-12-02,Sarawak,Tanjung Manis
2021-12-05,Sarawak,Limbang
2021-12-17,Sarawak,Lawas
2021-12-20,Sarawak,Sibu
2021-12-23,Sarawak,Marudi
2021-12-28,Sarawak,Julau
2021-12-28,Sarawak,Simunjan
2021-12-30,Sarawak,Kanowit
2021-12-31,Sarawak,Bintulu
2022-01-03,Sarawak,Lawas
2022-01-25,Sarawak,Pusa
2022-01-27,Sarawak,Song
2022-02-03,Sarawak,Sri Aman
2022-02-08,Sarawak,Kanowit
2022-02-14,Perak,Kinta
2022-02-14,Sarawak,Tanjung Manis
2022-02-15,Sarawak,Pakan
2022-02-21,Sarawak,Beluru
2022-02-23,Sarawak,Serian
2022-02-26,Sarawak,Beluru
2021-09-08,Sarawak,Serian
2021-09-10,Sarawak,Dalat
2021-09-12,Sarawak,Song
2021-09-15,Sarawak,Julau
2021-09-17,Sarawak,Telang Usan
2021-09-19,Sarawak,Sri Aman
2021-10-09,Sarawak,Kanowit
2021-10-11,Sarawak,Sarikei
2021-10-16,Sarawak,Lawas
2021-10-28,Sarawak,Kapit
2021-11-04,Sarawak,Sri Aman
2021-11-05,Sarawak,Sarikei
